,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"Drums of Autumn (Outlander, #4)","An Echo in the Bone (Outlander, #7)",0.0020164194152383695,0.010262134523980988,0.0020164194152383695,1.0,97.44561403508771,0.0019957266479424265,inf
1,"Dragonfly in Amber (Outlander, #2)","An Echo in the Bone (Outlander, #7)",0.0020164194152383695,0.010262134523980988,0.0020164194152383695,1.0,97.44561403508771,0.0019957266479424265,inf
2,"Written in My Own Heart's Blood (Outlander, #8)","An Echo in the Bone (Outlander, #7)",0.0020164194152383695,0.010262134523980988,0.0020164194152383695,1.0,97.44561403508771,0.0019957266479424265,inf
3,"Voyager (Outlander, #3)","An Echo in the Bone (Outlander, #7)",0.0020164194152383695,0.010262134523980988,0.0020164194152383695,1.0,97.44561403508771,0.0019957266479424265,inf
4,"Dragonfly in Amber (Outlander, #2)","An Echo in the Bone (Outlander, #7)",0.0020524269047961976,0.010262134523980988,0.0020524269047961976,1.0,97.44561403508771,0.002031364623798541,inf
5,"Written in My Own Heart's Blood (Outlander, #8)","An Echo in the Bone (Outlander, #7)",0.0020524269047961976,0.010262134523980988,0.0020524269047961976,1.0,97.44561403508771,0.002031364623798541,inf
6,"Voyager (Outlander, #3)","An Echo in the Bone (Outlander, #7)",0.0020524269047961976,0.010262134523980988,0.0020524269047961976,1.0,97.44561403508771,0.002031364623798541,inf
7,"An Echo in the Bone (Outlander, #7)","Voyager (Outlander, #3)",0.0020164194152383695,0.009541984732824428,0.0020164194152383695,1.0,104.8,0.0019971787719631944,inf
8,"Dragonfly in Amber (Outlander, #2)","Voyager (Outlander, #3)",0.0020164194152383695,0.009541984732824428,0.0020164194152383695,1.0,104.8,0.0019971787719631944,inf
9,"Written in My Own Heart's Blood (Outlander, #8)","Voyager (Outlander, #3)",0.0020164194152383695,0.009541984732824428,0.0020164194152383695,1.0,104.8,0.0019971787719631944,inf
10,"Drums of Autumn (Outlander, #4)","Voyager (Outlander, #3)",0.0020164194152383695,0.009541984732824428,0.0020164194152383695,1.0,104.8,0.0019971787719631944,inf
11,"An Echo in the Bone (Outlander, #7)","Voyager (Outlander, #3)",0.0030606366124153826,0.009541984732824428,0.0030246291228575545,0.988235294117647,103.56705882352941,0.0029954245750291636,84.18893129770943
12,"Dragonfly in Amber (Outlander, #2)","Voyager (Outlander, #3)",0.0030606366124153826,0.009541984732824428,0.0030246291228575545,0.988235294117647,103.56705882352941,0.0029954245750291636,84.18893129770943
13,"Drums of Autumn (Outlander, #4)","Voyager (Outlander, #3)",0.0030606366124153826,0.009541984732824428,0.0030246291228575545,0.988235294117647,103.56705882352941,0.0029954245750291636,84.18893129770943
14,"An Echo in the Bone (Outlander, #7)","Voyager (Outlander, #3)",0.0028085841855105863,0.009541984732824428,0.0027725766959527582,0.9871794871794871,103.45641025641025,0.002745777228533764,77.2557251908393
15,"Dragonfly in Amber (Outlander, #2)","Voyager (Outlander, #3)",0.0028085841855105863,0.009541984732824428,0.0027725766959527582,0.9871794871794871,103.45641025641025,0.002745777228533764,77.2557251908393
16,"Drums of Autumn (Outlander, #4)","Voyager (Outlander, #3)",0.0028085841855105863,0.009541984732824428,0.0027725766959527582,0.9871794871794871,103.45641025641025,0.002745777228533764,77.2557251908393
17,"A Breath of Snow and Ashes (Outlander, #6)","Voyager (Outlander, #3)",0.0028085841855105863,0.009541984732824428,0.0027725766959527582,0.9871794871794871,103.45641025641025,0.002745777228533764,77.2557251908393
18,"Written in My Own Heart's Blood (Outlander, #8)","An Echo in the Bone (Outlander, #7)",0.0024485092899323058,0.010262134523980988,0.0024125018003744777,0.9852941176470588,96.0125902992776,0.0023873748686579752,67.30217485236902
19,"Voyager (Outlander, #3)","An Echo in the Bone (Outlander, #7)",0.0024485092899323058,0.010262134523980988,0.0024125018003744777,0.9852941176470588,96.0125902992776,0.0023873748686579752,67.30217485236902
20,"Drums of Autumn (Outlander, #4)","An Echo in the Bone (Outlander, #7)",0.0024485092899323058,0.010262134523980988,0.0024125018003744777,0.9852941176470588,96.0125902992776,0.0023873748686579752,67.30217485236902
21,"Written in My Own Heart's Blood (Outlander, #8)","An Echo in the Bone (Outlander, #7)",0.00237649431081665,0.010262134523980988,0.002340486821258822,0.9848484848484849,95.96916533758639,0.002316098916945746,65.32269912141732
22,"Voyager (Outlander, #3)","An Echo in the Bone (Outlander, #7)",0.00237649431081665,0.010262134523980988,0.002340486821258822,0.9848484848484849,95.96916533758639,0.002316098916945746,65.32269912141732
23,"A Breath of Snow and Ashes (Outlander, #6)","An Echo in the Bone (Outlander, #7)",0.00237649431081665,0.010262134523980988,0.002340486821258822,0.9848484848484849,95.96916533758639,0.002316098916945746,65.32269912141732
24,"Written in My Own Heart's Blood (Outlander, #8)","Drums of Autumn (Outlander, #4)",0.00237649431081665,0.009253924816361803,0.002340486821258822,0.9848484848484849,106.42494988798491,0.002318494921580013,65.38924096212018
25,"Voyager (Outlander, #3)","Drums of Autumn (Outlander, #4)",0.00237649431081665,0.009253924816361803,0.002340486821258822,0.9848484848484849,106.42494988798491,0.002318494921580013,65.38924096212018
26,"A Breath of Snow and Ashes (Outlander, #6)","Drums of Autumn (Outlander, #4)",0.00237649431081665,0.009253924816361803,0.002340486821258822,0.9848484848484849,106.42494988798491,0.002318494921580013,65.38924096212018
27,"An Echo in the Bone (Outlander, #7)","Drums of Autumn (Outlander, #4)",0.002340486821258822,0.009253924816361803,0.002304479331700994,0.9846153846153846,106.3997605507333,0.002282820642623379,64.39849488693625
